country,total_laid_off
"United States",624306
Canada,18759
Cyprus,600
Switzerland,318
India,48414
Germany,39156
Indonesia,3870
Israel,17031
Nigeria,1743
Poland,750
"United Kingdom",32490
Australia,2430
Sweden,19350
China,3000
Spain,288
Singapore,1464
Kenya,5079
Chile,600
France,1266
Japan,0
Pakistan,0
Ireland,555
"New Zealand",600
Estonia,747
Romania,0
Austria,300
Brazil,714
Netherlands,4665
Lithuania,0
"Czech Republic",648
Luxembourg,0
Ghana,450
Finland,0
Norway,645
Denmark,300
"Cayman Islands",180
Uruguay,312
"Hong Kong",0
Belgium,150
Portugal,198
