month,total_laid_off,cumulative_layoffs
2023-06,0,0
2023-07,20877,20877
2023-08,28296,49173
2023-09,13170,62343
2023-10,18597,80940
2023-11,22722,103662
2023-12,20676,124338
2024-01,98868,223206
2024-02,44487,267693
2024-03,3381,271074
2024-04,65982,337056
2024-05,15225,352281
2024-06,19149,371430
2024-07,20553,391983
2024-08,73737,465720
2024-09,10785,476505
2024-10,10359,486864
2024-11,15768,502632
2024-12,7482,510114
2025-01,7611,517725
2025-02,38772,556497
2025-03,25077,581574
2025-04,73935,655509
2025-05,30156,685665
2025-06,4548,690213
2025-07,49626,739839
2025-08,16821,756660
2025-09,11097,767757
2025-10,54369,822126
2025-11,4956,827082
2025-12,4296,831378
